task_id,task_description,task_link,verification_link,max_steps,max_wait_time
add-pet-items,"Search for a dog poop bag and a cat shampoo on PetSmart and add it to the cart",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/add-pet-items,100,1800
add-pet-items,"Search for a dog poop bag and a cat shampoo on PetSmart and add it to the cart",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/add-pet-items,100,1800
add-pet-items,"Search for a dog poop bag and a cat shampoo on PetSmart and add it to the cart",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/add-pet-items,100,1800
add-pet-items,"Search for a dog poop bag and a cat shampoo on PetSmart and add it to the cart",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/add-pet-items,100,1800
buy-dog-cupcake,"Buy a cupcake for my dog",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/buy-dog-cupcake,100,1800
buy-dog-cupcake,"Buy a cupcake for my dog",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/buy-dog-cupcake,100,1800
buy-dog-cupcake,"Buy a cupcake for my dog",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/buy-dog-cupcake,100,1800
buy-dog-cupcake,"Buy a cupcake for my dog",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/buy-dog-cupcake,100,1800
buy-dog-cupcake,"Buy a cupcake for my dog",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/buy-dog-cupcake,100,1800
add-cooler-bag,"Navigate to Boichik Bagels and add a Blue Cooler Bag to the cart",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/add-cooler-bag,100,1800
add-cooler-bag,"Navigate to Boichik Bagels and add a Blue Cooler Bag to the cart",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/add-cooler-bag,100,1800
add-cooler-bag,"Navigate to Boichik Bagels and add a Blue Cooler Bag to the cart",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/add-cooler-bag,100,1800
add-cooler-bag,"Navigate to Boichik Bagels and add a Blue Cooler Bag to the cart",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/add-cooler-bag,100,1800
add-cooler-bag,"Navigate to Boichik Bagels and add a Blue Cooler Bag to the cart",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/add-cooler-bag,100,1800
add-customized-croissant,"Navigate to Gateway Croissant and add a Ham, Egg and Cheese Croissant with Large size, Light Salad, Fruit Portion, Juice, and Low Sugar",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/add-customized-croissant,100,1800
add-customized-croissant,"Navigate to Gateway Croissant and add a Ham, Egg and Cheese Croissant with Large size, Light Salad, Fruit Portion, Juice, and Low Sugar",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/add-customized-croissant,100,1800
add-customized-croissant,"Navigate to Gateway Croissant and add a Ham, Egg and Cheese Croissant with Large size, Light Salad, Fruit Portion, Juice, and Low Sugar",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/add-customized-croissant,100,1800
add-customized-croissant,"Navigate to Gateway Croissant and add a Ham, Egg and Cheese Croissant with Large size, Light Salad, Fruit Portion, Juice, and Low Sugar",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/add-customized-croissant,100,1800
add-customized-croissant,"Navigate to Gateway Croissant and add a Ham, Egg and Cheese Croissant with Large size, Light Salad, Fruit Portion, Juice, and Low Sugar",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/add-customized-croissant,100,1800
add-most-ordered,"Navigate to Philz Coffee and add 'Mint Mojito Iced Coffee' from the Most Ordered section",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/add-most-ordered,100,1800
add-most-ordered,"Navigate to Philz Coffee and add 'Mint Mojito Iced Coffee' from the Most Ordered section",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/add-most-ordered,100,1800
add-most-ordered,"Navigate to Philz Coffee and add 'Mint Mojito Iced Coffee' from the Most Ordered section",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/add-most-ordered,100,1800
add-most-ordered,"Navigate to Philz Coffee and add 'Mint Mojito Iced Coffee' from the Most Ordered section",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/add-most-ordered,100,1800
add-most-ordered,"Navigate to Philz Coffee and add 'Mint Mojito Iced Coffee' from the Most Ordered section",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/add-most-ordered,100,1800
add-sweet-pretzel,"Add a sweet pretzel from Jamba Juice to the cart",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/add-sweet-pretzel,100,1800
add-sweet-pretzel,"Add a sweet pretzel from Jamba Juice to the cart",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/add-sweet-pretzel,100,1800
add-sweet-pretzel,"Add a sweet pretzel from Jamba Juice to the cart",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/add-sweet-pretzel,100,1800
add-sweet-pretzel,"Add a sweet pretzel from Jamba Juice to the cart",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/add-sweet-pretzel,100,1800
add-sweet-pretzel,"Add a sweet pretzel from Jamba Juice to the cart",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/add-sweet-pretzel,100,1800
add-two-custom-lattes,"Add 2 Caffè Latte from Starbucks: one vegan medium size and one low sugar small size",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/add-two-custom-lattes,100,1800
add-two-custom-lattes,"Add 2 Caffè Latte from Starbucks: one vegan medium size and one low sugar small size",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/add-two-custom-lattes,100,1800
add-two-custom-lattes,"Add 2 Caffè Latte from Starbucks: one vegan medium size and one low sugar small size",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/add-two-custom-lattes,100,1800
add-two-custom-lattes,"Add 2 Caffè Latte from Starbucks: one vegan medium size and one low sugar small size",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/add-two-custom-lattes,100,1800
add-two-custom-lattes,"Add 2 Caffè Latte from Starbucks: one vegan medium size and one low sugar small size",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/add-two-custom-lattes,100,1800
add-airpods,"Search for Best Buy in the Retail section and add a pair of AirPods Pro 2 to the cart",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/add-airpods,100,1800
add-airpods,"Search for Best Buy in the Retail section and add a pair of AirPods Pro 2 to the cart",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/add-airpods,100,1800
add-airpods,"Search for Best Buy in the Retail section and add a pair of AirPods Pro 2 to the cart",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/add-airpods,100,1800
add-airpods,"Search for Best Buy in the Retail section and add a pair of AirPods Pro 2 to the cart",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/add-airpods,100,1800
add-airpods,"Search for Best Buy in the Retail section and add a pair of AirPods Pro 2 to the cart",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/add-airpods,100,1800
add-gift-from-michaels,"Navigate to Michaels and add a $2.99 gift item to the cart",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/add-gift-from-michaels,100,1800
add-gift-from-michaels,"Navigate to Michaels and add a $2.99 gift item to the cart",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/add-gift-from-michaels,100,1800
add-gift-from-michaels,"Navigate to Michaels and add a $2.99 gift item to the cart",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/add-gift-from-michaels,100,1800
add-gift-from-michaels,"Navigate to Michaels and add a $2.99 gift item to the cart",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/add-gift-from-michaels,100,1800
add-gift-from-michaels,"Navigate to Michaels and add a $2.99 gift item to the cart",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/add-gift-from-michaels,100,1800
sequential-starbucks-bagel,"order for me a starbucks latte and a bagel from a highly rated restaurant.",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/sequential-starbucks-bagel,100,1800
sequential-starbucks-bagel,"order for me a starbucks latte and a bagel from a highly rated restaurant.",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/sequential-starbucks-bagel,100,1800
sequential-starbucks-bagel,"order for me a starbucks latte and a bagel from a highly rated restaurant.",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/sequential-starbucks-bagel,100,1800
sequential-starbucks-bagel,"order for me a starbucks latte and a bagel from a highly rated restaurant.",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/sequential-starbucks-bagel,100,1800
sequential-starbucks-bagel,"order for me a starbucks latte and a bagel from a highly rated restaurant.",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/sequential-starbucks-bagel,100,1800
reorder-pet-treats,"Around end of Feb i made an order of fish treats for my pets. Check that order and order the same items in same quantity from another store as the original store has closed now",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/reorder-pet-treats,100,1800
reorder-pet-treats,"Around end of Feb i made an order of fish treats for my pets. Check that order and order the same items in same quantity from another store as the original store has closed now",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/reorder-pet-treats,100,1800
reorder-pet-treats,"Around end of Feb i made an order of fish treats for my pets. Check that order and order the same items in same quantity from another store as the original store has closed now",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/reorder-pet-treats,100,1800
reorder-pet-treats,"Around end of Feb i made an order of fish treats for my pets. Check that order and order the same items in same quantity from another store as the original store has closed now",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/reorder-pet-treats,100,1800
reorder-pet-treats,"Around end of Feb i made an order of fish treats for my pets. Check that order and order the same items in same quantity from another store as the original store has closed now",https://turing-dashdoor-clone.vercel.app/,https://turing-dashdoor-clone.vercel.app/verify/reorder-pet-treats,100,1800
